200,"['Niftandroll', 'Kled', 100]","['Jax5853', 'Nidalee', 100]","['Benjjiii', 'Lux', 100]","['placehoIder', 'Zeri', 100]","['Kblune', 'Pyke', 100]","['aedswithaeds', 'DrMundo', 200]","['Kreature', 'Graves', 200]","['Looneyllama056', 'Brand', 200]","['AimymiA', 'MissFortune', 200]","['kasmira', 'Ashe', 200]"
200,"['SwiftScoutTemo', 'Volibear', 100]","['CrazyGunner98', 'Kayn', 100]","['gaymer03', 'Seraphine', 100]","['Brapthew', 'Ezreal', 100]","['DustinIsTall', 'Velkoz', 100]","['Wirrtsu', 'Sion', 200]","['phoenixtale', 'MasterYi', 200]","['CodySour', 'Fizz', 200]","['Corrosive Scarab', 'Draven', 200]","['B00Mshot', 'Blitzcrank', 200]"
100,"['Lupe9397', 'Malphite', 100]","['Nunu Gaming GLHF', 'Poppy', 100]","['CNC CAT', 'Lucian', 100]","['JAZBEAST', 'Caitlyn', 100]","['Cassie', 'Janna', 100]","['mista mcgee', 'Fiora', 200]","['TheDankMagician', 'LeeSin', 200]","['DNAP0lymerase', 'Ekko', 200]","['Beeƒy', 'Kaisa', 200]","['Peter Griffın', 'Thresh', 200]"
100,"['A Demonic Toast', 'Gnar', 100]","['NerfNessy', 'Graves', 100]","['A Sad Bagel', 'Viktor', 100]","['Shatter Crown', 'Ashe', 100]","['Cîroc Obama', 'Zilean', 100]","['SogeKing7', 'Fiora', 200]","['UDDERSUCKER9000', 'Ivern', 200]","['nyanlul', 'Nidalee', 200]","['Sussy Mushy 101', 'Jinx', 200]","['ItsChikken', 'Thresh', 200]"
100,"['DarthSwagg1', 'Urgot', 100]","['Magic the gather', 'Lillia', 100]","['EpicApeFight', 'Malzahar', 100]","['Skitter Woo', 'Caitlyn', 100]","['ElvishCreator', 'Senna', 100]","['JungleStar', 'Akali', 200]","['Instagwapo', 'Zac', 200]","['MadWaltz', 'TwistedFate', 200]","['bonzwah', 'Jhin', 200]","['joce2n', 'Lulu', 200]"
100,"['ThemTwitchSweg L', 'Garen', 100]","['Flamin3agles', 'Morgana', 100]","['PlasmaEagle', 'Swain', 100]","['Sythiix', 'MissFortune', 100]","['Ceobe Enjoyer', 'Nami', 100]","['Lúcky 7', 'Rakan', 200]","['robotic13', 'Lillia', 200]","['Spooky Bus', 'Malphite', 200]","['NalaFish', 'Jhin', 200]","['eeezee123', 'Seraphine', 200]"
200,"['kwantum physics', 'Lillia', 100]","['ImaSaltyBoi', 'Volibear', 100]","['Makdefo', 'Chogath', 100]","['johannsolo98', 'Kaisa', 100]","['AttackOfYak', 'Nautilus', 100]","['frog in gutter', 'Ornn', 200]","['BeaverBomb', 'Amumu', 200]","['S4ku', 'Nasus', 200]","['The Slow Yam ', 'Akshan', 200]","['I Am Risen', 'Nami', 200]"
200,"['Fortniteisbad1', 'Ornn', 100]","['cheezydong', 'Khazix', 100]","['handsoapI', 'Akshan', 100]","['Jixmmy', 'Anivia', 100]","['FatMochi ', 'Seraphine', 100]","['Soma Cruz', 'Fiora', 200]","['cunur', 'Amumu', 200]","['Mareksworld', 'Pyke', 200]","['gbg', 'Tristana', 200]","['Cubes Squared', 'Janna', 200]"
100,"['abysswalker1011', 'FiddleSticks', 100]","['HB Joe Bob', 'Diana', 100]","['cstu', 'Yasuo', 100]","['pichu7223', 'Twitch', 100]","['coquin0', 'Senna', 100]","['DZKefta', 'Lux', 200]","['Vóïd', 'Rammus', 200]","['KíngOfCamavor', 'Zed', 200]","['Wåfflé', 'Ezreal', 200]","['Ximiraimber', 'Yone', 200]"
100,"['UnderTowTruck', 'Olaf', 100]","['LeonTyx', 'Nocturne', 100]","['Jubei Troupe', 'Zoe', 100]","['Lavo', 'Lucian', 100]","['Zixcik', 'Nami', 100]","['V4A', 'Darius', 200]","['Zystem', 'Rengar', 200]","['ElGecko', 'Corki', 200]","['Andy Shots', 'Vayne', 200]","['OrionBrando', 'Blitzcrank', 200]"
